N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"99,400","하락
				2,600",-2.55%,100,"5,884,120","5,919,638",52.36,"9,522,059",22.20,9.03,
2,SK하이닉스,"520,000","하락
				15,000",-2.80%,"5,000","3,785,612","728,002",54.94,"2,616,201",13.12,31.06,
3,LG에너지솔루션,"493,000","하락
				2,000",-0.40%,500,"1,153,620","234,000",4.49,"168,928",-116.58,-4.93,
4,삼성바이오로직스,"1,216,000","상승
				8,000",+0.66%,"2,500","865,476","71,174",13.13,"62,206",67.31,10.45,
5,삼성전자우,"78,400","하락
				1,400",-1.75%,100,"639,724","815,975",76.49,"1,157,844",17.51,N/A,
6,HD현대중공업,"599,000","하락
				25,000",-4.01%,"5,000","531,751","88,773",11.52,"93,827",56.94,11.39,
7,두산에너빌리티,"82,800","상승
				900",+1.10%,"5,000","530,385","640,561",24.19,"4,113,739",-495.81,1.52,
8,한화에어로스페이스,"1,006,000","하락
				33,000",-3.18%,"5,000","518,728","51,563",44.66,"68,895",19.51,53.94,
9,현대차,"250,000","하락
				4,500",-1.77%,"5,000","511,894","204,758",36.25,"294,316",5.89,12.43,
10,기아,"113,400","하락
				1,400",-1.22%,"5,000","446,557","393,789",39.84,"320,977",5.21,19.09,
11,KB금융,"116,200","하락
				1,800",-1.53%,"5,000","443,259","381,462",77.15,"405,790",7.97,8.86,
12,셀트리온,"179,000","상승
				600",+0.34%,"1,000","413,381","230,939",21.43,"375,343",85.20,2.46,
13,한화오션,"131,700","하락
				8,000",-5.73%,"5,000","403,546","306,413",12.28,"1,914,147",46.46,11.52,
14,NAVER,"253,250","상승
				2,250",+0.90%,100,"397,229","156,853",40.43,"459,631",20.32,7.90,
15,SK스퀘어,"279,000","하락
				12,500",-4.29%,100,"369,789","132,541",51.54,"206,768",6.57,21.70,
16,신한지주,"73,800","하락
				700",-0.94%,"5,000","358,295","485,495",59.80,"341,885",7.85,8.11,
17,삼성물산,"206,500","하락
				9,000",-4.18%,100,"351,002","169,977",28.64,"133,032",18.08,6.83,
18,HD한국조선해양,"463,500","하락
				9,500",-2.01%,"5,000","328,033","70,773",32.78,"88,908",21.26,11.16,
19,삼성생명,"160,700","하락
				1,300",-0.80%,500,"321,400","200,000",22.39,"72,595",15.07,6.18,
20,HD현대일렉트릭,"831,000","상승
				11,000",+1.34%,"5,000","299,552","36,047",36.91,"73,899",55.20,39.34,
21,LG화학,"409,000","상승
				5,000",+1.24%,"5,000","288,723","70,592",33.74,"195,808",-30.42,-2.11,
