일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/10/28","99700","-2300","-2.25","100900","101000","99500","7392147","739497066100","590187900823400","5919637922"
"2025/10/27","102000","3200","3.24","101300","102000","100600","22169970","2250615426550","603803068044000","5919637922"
"2025/10/24","98800","2300","2.38","97900","99000","97700","18801925","1852510715919","584860226693600","5919637922"
"2025/10/23","96500","-2100","-2.13","96800","98500","96300","18488581","1796781660790","571245059473000","5919637922"
"2025/10/22","98600","1100","1.13","97100","98600","95500","15937611","1547962213088","583676299109200","5919637922"
"2025/10/21","97500","-600","-0.61","98500","99900","97300","22803830","2252645721374","577164697395000","5919637922"
"2025/10/20","98100","200","0.20","97900","98300","96000","17589756","1714999925050","580716480148200","5919637922"
"2025/10/17","97900","200","0.20","97200","99100","96700","22730809","2225132112442","579532552563800","5919637922"
"2025/10/16","97700","2700","2.84","95300","97700","95000","28141060","2728362196400","578348624979400","5919637922"
"2025/10/15","95000","3400","3.71","92300","95300","92100","21050111","1978832965007","562365602590000","5919637922"
"2025/10/14","91600","-1700","-1.82","95300","96000","90200","35545235","3312011003250","542238833655200","5919637922"
"2025/10/13","93300","-1100","-1.17","91300","93400","90700","23883308","2197370665497","552302218122600","5919637922"
"2025/10/10","94400","5400","6.07","94000","94500","92700","35269748","3311084659050","558813819836800","5919637922"
"2025/10/02","89000","3000","3.49","89300","90300","88700","49883028","4472131514922","526847775058000","5919637922"
"2025/10/01","86000","2100","2.50","84900","86200","84700","22039361","1886160393690","509088861292000","5919637922"
"2025/09/30","83900","-300","-0.36","84600","84900","83400","16319061","1371831147850","496657621655800","5919637922"
"2025/09/29","84200","900","1.08","83300","85000","83200","13069094","1102882949950","498433513032400","5919637922"
"2025/09/26","83300","-2800","-3.25","85000","85300","82400","24071193","2011031686444","493105838902600","5919637922"
"2025/09/25","86100","700","0.82","84400","86200","84100","19665151","1683395911552","509680825084200","5919637922"
"2025/09/24","85400","700","0.83","84200","85500","83700","18300997","1550295255940","505537078538800","5919637922"
"2025/09/23","84700","1200","1.44","85800","85900","83600","23610263","2000621182255","501393331993400","5919637922"
"2025/09/22","83500","3800","4.77","81500","84000","81100","27529656","2288084255150","494289766487000","5919637922"
"2025/09/19","79700","-800","-0.99","81100","81200","79600","20898386","1672547819584","471795142383400","5919637922"
"2025/09/18","80500","2300","2.94","79100","80500","78600","25619035","2046310025896","476530852721000","5919637922"
"2025/09/17","78200","-1200","-1.51","79100","79100","77100","20856317","1630232349162","462915685500400","5919637922"
"2025/09/16","79400","2900","3.79","76900","79500","76700","28218265","2211426330044","470019251006800","5919637922"
"2025/09/15","76500","1100","1.46","77200","77600","75900","19908805","1529429370850","452852301033000","5919637922"
"2025/09/12","75400","2000","2.72","74600","75600","74200","28219678","2118000956450","446340699318800","5919637922"
"2025/09/11","73400","800","1.10","73200","73600","72100","20793501","1518036265100","434501423474800","5919637922"
"2025/09/10","72600","1100","1.54","71800","72800","71600","21928565","1589672409520","429765713137200","5919637922"
"2025/09/09","71500","1400","2.00","70100","71500","70000","14870245","1055356549000","423254111423000","5919637922"
"2025/09/08","70100","600","0.86","69800","70500","69600","9263135","648524943367","414966618332200","5919637922"
"2025/09/05","69500","-600","-0.86","70300","70400","69500","11526724","804641532850","411414835579000","5919637922"
"2025/09/04","70100","300","0.43","69500","70100","69300","12284414","855350153007","414966618332200","5919637922"
"2025/09/03","69800","700","1.01","69200","69800","68800","10283009","714517209150","413190726955600","5919637922"
"2025/09/02","69100","1500","2.22","67800","69500","67800","10604028","731582866980","409046980410200","5919637922"
"2025/09/01","67600","-2100","-3.01","68400","68600","67500","12002343","815938773100","400167523527200","5919637922"
"2025/08/29","69700","100","0.14","70100","70500","69700","11682267","817253503600","412598763163400","5919637922"
"2025/08/28","69600","-1000","-1.42","70100","70400","69600","11578024","810422565900","412006799371200","5919637922"
"2025/08/27","70600","300","0.43","70100","70900","69800","10523405","741245805000","417926437293200","5919637922"
"2025/08/26","70300","-1200","-1.68","70800","71100","70300","14712519","1037834198800","416150545916600","5919637922"
"2025/08/25","71500","100","0.14","71700","71800","71000","10345178","737888335300","423254111423000","5919637922"
"2025/08/22","71400","800","1.13","71700","71800","70800","9277432","662245936652","422662147630800","5919637922"
"2025/08/21","70600","100","0.14","71500","71900","70600","18843833","1346119238787","417926437293200","5919637922"
"2025/08/20","70500","500","0.71","70100","70700","69400","17445516","1224601970500","417334473501000","5919637922"
"2025/08/19","70000","0","0.00","70400","70700","69700","10533082","738974304800","414374654540000","5919637922"
"2025/08/18","70000","-1600","-2.23","71100","71200","70000","13595591","956707246500","414374654540000","5919637922"
"2025/08/14","71600","-300","-0.42","71900","71900","71200","11946122","855002690211","423846075215200","5919637922"
"2025/08/13","71900","800","1.13","71900","72100","71400","12305742","882862974150","425621966591800","5919637922"
"2025/08/12","71100","100","0.14","71100","72400","71100","15797656","1131563720442","420886256254200","5919637922"
"2025/08/11","71000","-800","-1.11","72000","72100","70800","11354253","808470078650","420294292462000","5919637922"
"2025/08/08","71800","1300","1.84","71000","72400","70700","22241128","1593485781518","425030002799600","5919637922"
"2025/08/07","70500","1700","2.47","70800","71000","69700","15008213","1055402519950","417334473501000","5919637922"
"2025/08/06","68800","-1100","-1.57","69200","69400","68300","12542415","863115544500","407271089033600","5919637922"
"2025/08/05","69900","200","0.29","71000","71500","69700","14392903","1012313553300","413782690747800","5919637922"
"2025/08/04","69700","800","1.16","69500","70200","68700","14780072","1030549721600","412598763163400","5919637922"
"2025/08/01","68900","-2500","-3.50","70200","72000","68800","24038534","1680885451444","407863052825800","5919637922"
"2025/07/31","71400","-1200","-1.65","73000","74000","71000","26568072","1907638117550","422662147630800","5919637922"
"2025/07/30","72600","2000","2.83","71000","73700","70600","34761444","2521446314798","429765713137200","5919637922"
"2025/07/29","70600","200","0.28","70800","70800","68800","28190940","1977721049950","417926437293200","5919637922"
"2025/07/28","70400","4500","6.83","68200","70400","67200","35332500","2431396606750","416742509708800","5919637922"
"2025/07/25","65900","-100","-0.15","65700","66300","65500","8080910","532537113250","390104139059800","5919637922"
"2025/07/24","66000","-400","-0.60","66500","66800","65900","12660193","839577050200","390696102852000","5919637922"
"2025/07/23","66400","400","0.61","66200","66500","64900","15687058","1033696388650","393063958020800","5919637922"
"2025/07/22","66000","-1800","-2.65","68100","68500","65600","20829006","1389855801518","390696102852000","5919637922"
"2025/07/21","67800","700","1.04","67400","68800","67200","17723148","1204016863750","401351451111600","5919637922"
"2025/07/18","67100","400","0.60","67000","67800","66300","23951531","1607581620750","397207704566200","5919637922"
"2025/07/17","66700","2000","3.09","65900","66800","64400","39448683","2597601930887","394839849397400","5919637922"
"2025/07/16","64700","1000","1.57","63700","64700","63100","23042660","1479498248637","383000573553400","5919637922"
"2025/07/15","63700","1200","1.92","62300","63800","62000","18442202","1164848565258","377080935631400","5919637922"
"2025/07/14","62500","-100","-0.16","62300","62600","61800","13563846","843866596500","369977370125000","5919637922"
"2025/07/11","62600","1600","2.62","61300","62800","61200","19140650","1193447629850","370569333917200","5919637922"
"2025/07/10","61000","600","0.99","60600","61200","60400","14768473","899089116094","361097913242000","5919637922"
"2025/07/09","60400","-1000","-1.63","61400","61400","60200","17533415","1062832478300","357546130488800","5919637922"
"2025/07/08","61400","-300","-0.49","61600","62400","61000","20213724","1243103108550","363465768410800","5919637922"
"2025/07/07","61700","-1600","-2.53","62900","63300","61700","17164708","1069011093850","365241659787400","5919637922"
"2025/07/04","63300","-500","-0.78","64700","64700","63000","23748959","1509810934320","374713080462600","5919637922"
"2025/07/03","63800","3000","4.93","61300","63800","61100","32040639","2006401108350","377672899423600","5919637922"
"2025/07/02","60800","600","1.00","60200","60900","59800","15047951","909032914400","359913985657600","5919637922"
"2025/07/01","60200","400","0.67","60400","61100","60200","13650991","827468756700","356362202904400","5919637922"
"2025/06/30","59800","-1000","-1.64","61200","61200","59800","17110294","1030779273850","353994347735600","5919637922"
"2025/06/27","60800","600","1.00","60100","61600","60000","17340470","1053939281525","359913985657600","5919637922"
"2025/06/26","60200","-1100","-1.79","61300","61300","59900","19402300","1171824855134","356362202904400","5919637922"
"2025/06/25","61300","800","1.32","61500","61600","60300","23933612","1457360417042","362873804618600","5919637922"
"2025/06/24","60500","2500","4.31","59400","60600","59300","23737899","1427748806035","358138094281000","5919637922"
"2025/06/23","58000","-1500","-2.52","58400","58500","57600","16551694","960057464892","343338999476000","5919637922"
"2025/06/20","59500","300","0.51","59400","59800","59100","18072251","1074365743369","352218456359000","5919637922"
"2025/06/19","59200","-600","-1.00","60500","60600","59000","16876278","1003457299850","350442564982400","5919637922"
"2025/06/18","59800","1700","2.93","58000","59800","57900","17620705","1042740697200","353994347735600","5919637922"
"2025/06/17","58100","900","1.57","57800","59800","57400","28637003","1679975838250","343930963268200","5919637922"
"2025/06/16","57200","-1100","-1.89","58000","58100","56900","22200872","1270631109015","338603289138400","5919637922"
"2025/06/13","58300","-1200","-2.02","60200","60200","57700","20705979","1210886326580","345114890852600","5919637922"
"2025/06/12","59500","-400","-0.67","59700","60000","59300","17755115","1057637167800","352218456359000","5919637922"
"2025/06/11","59900","700","1.18","59500","60100","59400","13610734","813621164500","354586311527800","5919637922"
"2025/06/10","59200","-600","-1.00","60000","60100","58800","15305760","906586997415","350442564982400","5919637922"
"2025/06/09","59800","700","1.18","60400","60400","59500","19609659","1177551114571","353994347735600","5919637922"
"2025/06/05","59100","1300","2.25","58100","59900","57900","23266027","1374247336436","349850601190200","5919637922"
"2025/06/04","57800","1000","1.76","57200","57900","56800","19649983","1130355068006","342155071891600","5919637922"
"2025/06/02","56800","600","1.07","56300","57300","56200","12870515","730318709208","336235433969600","5919637922"
"2025/05/30","56200","100","0.18","56200","57200","55800","26219683","1480158775742","332683651216400","5919637922"
"2025/05/29","56100","200","0.36","56200","56400","55600","12936810","725423589100","332091687424200","5919637922"
"2025/05/28","55900","2000","3.71","54300","56100","54200","17516283","973210169800","330907759839800","5919637922"
"2025/05/27","53900","-800","-1.46","54200","54500","53800","13439520","726274713400","319068483995800","5919637922"
"2025/05/26","54700","500","0.92","53900","55000","53700","10901337","592151080050","323804194333400","5919637922"
"2025/05/23","54200","-500","-0.91","55000","55200","54100","11247115","613226703800","320844375372400","5919637922"
"2025/05/22","54700","-1000","-1.80","55300","55500","54500","15254278","836539466150","323804194333400","5919637922"
"2025/05/21","55700","-200","-0.36","56200","56600","55700","7794181","436952856950","329723832255400","5919637922"
"2025/05/20","55900","100","0.18","56200","56700","55700","9080577","509071853300","330907759839800","5919637922"
"2025/05/19","55800","-1000","-1.76","56400","56400","55500","9802105","547396316550","330315796047600","5919637922"
"2025/05/16","56800","-500","-0.87","57400","57500","56700","10385352","591058106600","336235433969600","5919637922"
"2025/05/15","57300","-100","-0.17","57400","58600","57100","13139736","758309165800","339195252930600","5919637922"
"2025/05/14","57400","500","0.88","57500","57900","57000","12468089","716126374400","339787216722800","5919637922"
"2025/05/13","56900","-700","-1.22","57700","58200","56800","16842801","964867366600","336827397761800","5919637922"
"2025/05/12","57600","2800","5.11","55200","57600","55000","15414702","865629368100","340971144307200","5919637922"
"2025/05/09","54800","200","0.37","54700","55000","54400","7814322","427710077350","324396158125600","5919637922"
"2025/05/08","54600","0","0.00","55100","55500","54500","16320532","894447365150","323212230541200","5919637922"
"2025/05/07","54600","300","0.55","54500","55000","54300","17136991","934599688925","323212230541200","5919637922"
"2025/05/02","54300","-1200","-2.16","55000","55500","54200","22454204","1227727373850","321436339164600","5919637922"
